KS LABEL	H	B	TW	TF	W	As
	mm	mm	mm	mm	kg/m	mm2
B 40x40x1.6	40	40	1.6	1.6	1.9	239.2
B 40x40x2.3	40	40	2.3	2.3	2.6	333.2
B 50x50x1.6	50	50	1.6	1.6	2.4	303.2
B 50x50x2.3	50	50	2.3	2.3	3.3	425.2
B 50x50x3.2	50	50	3.2	3.2	4.5	572.7
B 60x60x1.6	60	60	1.6	1.6	2.9	367.2
B 60x60x2.3	60	60	2.3	2.3	4.1	517.2
B 60x60x3.2	60	60	3.2	3.2	5.5	700.7
B 75x75x1.6	75	75	1.6	1.6	3.6	463.2
B 75x75x2.3	75	75	2.3	2.3	5.1	655.2
B 75x75x3.2	75	75	3.2	3.2	7	892.7
B 75x75x4.5	75	75	4.5	4.5	9.6	1217
B 80x80x2.3	80	80	2.3	2.3	5.5	701.2
B 80x80x3.2	80	80	3.2	3.2	7.5	956.7
B 80x80x4.5	80	80	4.5	4.5	10.3	1307
B 90x90x2.3	90	90	2.3	2.3	6.2	793.2
B 90x90x3.2	90	90	3.2	3.2	8.5	1085
B 100x100x2.3	100	100	2.3	2.3	6.9	885.2
B 100x100x3.2	100	100	3.2	3.2	9.5	1213
B 100x100x4	100	100	4	4	11.7	1495
B 100x100x4.5	100	100	4.5	4.5	13.1	1667
B 100x100x6	100	100	6	6	17	2163
B 100x100x9	100	100	9	9	24.1	3067
B 100x100x12	100	100	12	12	30.2	3853
B 125x125x3.2	125	125	3.2	3.2	12	1533
B 125x125x4.5	125	125	4.5	4.5	16.6	2117
B 125x125x5	125	125	5	5	18.3	2336
B 125x125x6	125	125	6	6	21.7	2763
B 125x125x9	125	125	9	9	31.1	3967
B 125x125x12	125	125	12	12	39.7	5053
B 150x150x4.5	150	150	4.5	4.5	20.2	2567
B 150x150x5	150	150	5	5	22.3	2836
B 150x150x6	150	150	6	6	26.4	3363
B 150x150x9	150	150	9	9	38.2	4867
B 175x175x4.5	175	175	4.5	4.5	23.7	3017
B 175x175x5	175	175	5	5	26.2	3336
B 175x175x6	175	175	6	6	31.1	3963
B 200x200x4.5	200	200	4.5	4.5	27.2	3467
B 200x200x6	200	200	6	6	35.8	4563
B 200x200x8	200	200	8	8	46.9	5979
B 200x200x9	200	200	9	9	52.3	6667
B 200x200x12	200	200	12	12	67.9	8653
B 250x250x5	250	250	5	5	38	4836
B 250x250x6	250	250	6	6	45.2	5763
B 250x250x8	250	250	8	8	59.5	7579
B 250x250x9	250	250	9	9	66.5	8467
B 250x250x12	250	250	12	12	86.7	11050
B 300x300x4.5	300	300	4.5	4.5	41.3	5267
B 300x300x6	300	300	6	6	54.7	6963
B 300x300x9	300	300	9	9	80.6	10270
B 300x300x12	300	300	12	12	105.6	13450
B 350x350x9	350	350	9	9	94.7	12070
B 350x350x12	350	350	12	12	124.4	15850
