KS LABEL	H	B	tw	tf	r1	r2	As	W
	mm	mm	mm	mm	mm	mm	mm2	kg/m
C 75x40x5/7	75	40	5	7	8	4	881.8	6.9
C 100x50x5/7.5	100	50	5	7.5	8	4	1192	9.4
C 125x65x6/8	125	65	6	8	8	4	1711	13.4
C 150x75x6.5/10	150	75	6.5	10	10	5	2371	18.6
C 150x75x9/12.5	150	75	9	12.5	15	7.5	3059	24
C 180x75x7/10.5	180	75	7	10.5	11	5.5	2720	21.4
C 200x70x7/10	200	70	7	10	12	5.5	2692	21.1
C 200x80x7.5/11	200	80	7.5	11	12	6	3133	24.6
C 200x90x8/13.5	200	90	8	13.5	14	7	3865	30.3
C 250x90x9/13	250	90	9	13	14	7	4407	34.6
C 250x90x11/14.5	250	90	11	14.5	17	8.5	5117	40.2
C 300x90x9/13	300	90	9	13	14	7	4857	38.1
C 300x90x10/15.5	300	90	10	15.5	19	9.5	5574	43.8
C 300x90x12/16	300	90	12	16	19	9.5	6190	48.6
C 380x100x10.5/16	380	100	10.5	16	18	9	6939	54.5
C 380x100x13/16.5	380	100	13	16.5	18	9	7896	62
C 380x100x13/20	380	100	13	20	24	12	8571	67.3
