KS LABEL	LT	H	B	tw	rf	r	A	W	Ix	Iy	ix	iy	Zx	Zy
		mm	mm	mm	mm	mm	cm2	kg/m	cm4	cm4	cm	cm	cm3	cm3
100×50		100 	50 	5 	7 	8 	12 	9 	187 	15 	4 	1 	38 	6 
100×100		100 	100 	6 	8 	10 	22 	17 	383 	134 	4 	2 	77 	27 
125×60		125 	60 	6 	8 	9 	17 	13 	413 	29 	5 	1 	66 	10 
125×125		125 	125 	7 	9 	10 	30 	24 	847 	293 	5 	3 	136 	47 
150×75		150 	75 	5 	7 	8 	18 	14 	666 	50 	6 	2 	89 	13 
150×100		148 	100 	6 	9 	11 	27 	21 	1020 	151 	6 	2 	138 	30 
150×150		150 	150 	7 	10 	11 	40 	32 	1640 	563 	6 	4 	219 	75 
175×90		175 	90 	5 	8 	9 	23 	18 	1210 	98 	7 	2 	139 	22 
175×175		175 	175 	8 	11 	12 	51 	40 	2880 	984 	8 	4 	330 	112 
200×100		198 	99 	5 	7 	11 	23 	18 	1580 	114 	8 	2 	160 	23 
200×100		200 	100 	6 	8 	11 	27 	21 	1840 	134 	8 	2 	184 	27 
200×150		194 	150 	6 	9 	13 	39 	31 	2690 	507 	8 	4 	277 	68 
200×200		200 	200 	8 	12 	13 	64 	50 	4720 	1600 	9 	5 	472 	160 
200×200	*	200 	204 	12 	12 	13 	72 	56 	4980 	1700 	8 	5 	498 	167 
200×200	*	208 	202 	10 	16 	13 	84 	66 	6350 	2200 	9 	5 	628 	218 
250×125		248 	124 	5 	8 	12 	33 	26 	3540 	255 	10 	3 	285 	41 
250×125		250 	125 	6 	9 	12 	38 	30 	4050 	294 	10 	3 	324 	47 
250×175		244 	175 	7 	11 	16 	56 	44 	6120 	984 	10 	4 	502 	113 
250×250	*	244 	252 	11 	11 	16 	82 	64 	8790 	2940 	10 	6 	720 	233 
250×250	*	248 	249 	8 	13 	16 	85 	67 	9930 	3350 	11 	6 	801 	269 
250×250		250 	250 	9 	14 	16 	92 	72 	10800 	3650 	11 	6 	867 	292 
250×250	*	250 	255 	14 	14 	16 	105 	82 	11500 	3880 	11 	6 	919 	304 
300×150		298 	149 	6 	8 	13 	41 	32 	6320 	442 	12 	3 	424 	59 
300×150		300 	150 	7 	9 	13 	47 	37 	7210 	508 	12 	3 	481 	68 
300×200		294 	200 	8 	12 	18 	72 	57 	11300 	1600 	13 	5 	771 	160 
300×200	*	298 	201 	9 	14 	18 	83 	65 	13300 	1900 	13 	5 	893 	189 
300×300		294 	302 	12 	12 	18 	108 	85 	16900 	5520 	13 	7 	1150 	365 
300×300	*	298 	299 	9 	14 	18 	111 	87 	18800 	6240 	13 	8 	1270 	417 
300×300		300 	300 	10 	15 	18 	120 	94 	20400 	6750 	13 	8 	1360 	450 
300×300		300 	305 	15 	15 	18 	135 	106 	21500 	7100 	13 	7 	1440 	456 
300×300	*	304 	301 	11 	17 	18 	135 	106 	23400 	7730 	13 	8 	1540 	514 
300×300	*	310 	305 	15 	20 	18 	165 	130 	28600 	9470 	13 	8 	1850 	621 
300×300	*	310 	310 	20 	20 	18 	181 	142 	29900 	10000 	13 	7 	1930 	645 
350×175		346 	174 	6 	9 	14 	53 	41 	11100 	792 	15 	4 	641 	91 
350×175		350 	175 	7 	11 	14 	63 	50 	13600 	984 	15 	4 	775 	112 
350×175	*	354 	176 	8 	13 	14 	74 	58 	16100 	1180 	15 	4 	909 	135 
350×250	*	336 	249 	8 	12 	20 	88 	69 	18500 	3090 	15 	6 	1100 	248 
350×250		340 	250 	9 	14 	20 	102 	80 	21700 	3650 	15 	6 	1280 	292 
350×350	*	338 	351 	13 	13 	20 	135 	106 	28200 	9380 	14 	8 	1670 	534 
350×350		344 	348 	10 	16 	20 	146 	115 	33300 	11200 	15 	9 	1940 	646 
350×350	*	344 	354 	16 	16 	20 	167 	131 	35300 	11800 	15 	8 	2050 	669 
350×350		350 	350 	12 	19 	20 	174 	137 	40300 	13600 	15 	9 	2300 	776 
350×350	*	350 	357 	19 	19 	20 	198 	156 	42800 	14400 	15 	9 	2450 	809 
400×200		396 	199 	7 	11 	16 	72 	57 	20000 	1450 	17 	4 	1010 	145 
400×200		400 	200 	8 	13 	16 	84 	66 	23700 	1740 	17 	5 	1190 	174 
400×300		390 	300 	10 	16 	22 	136 	107 	38700 	7210 	17 	7 	1980 	481 
400×400	*	388 	402 	15 	15 	22 	179 	140 	49000 	16300 	17 	10 	2520 	809 
400×400	*	394 	398 	11 	18 	22 	187 	147 	56100 	18900 	17 	10 	2850 	951 
400×400	*	394 	405 	18 	18 	22 	214 	168 	59700 	20000 	17 	10 	3030 	985 
400×400		400 	400 	13 	21 	22 	219 	172 	66600 	22400 	18 	10 	3330 	1120 
400×400	*	400 	408 	21 	21 	22 	251 	197 	70900 	23800 	17 	10 	3540 	1170 
400×400	*	406 	403 	16 	24 	22 	255 	200 	78000 	26200 	18 	10 	3840 	1300 
400×400	*	414 	405 	18 	28 	22 	295 	232 	92800 	31000 	18 	10 	4480 	1530 
400×400	*	428 	407 	20 	35 	22 	361 	283 	119000 	39400 	18 	10 	5570 	1930 
400×400	*	442 	413 	26 	42 	22 	444 	349 	150000 	49400 	18 	11 	6810 	2390 
400×400	*	452 	416 	29 	47 	22 	499 	392 	173000 	56500 	19 	11 	7670 	2720 
400×400	*	458 	417 	30 	50 	22 	529 	415 	187000 	60500 	19 	11 	8170 	2900 
400×400	*	462 	419 	32 	52 	22 	555 	435 	198000 	63900 	19 	11 	8550 	3050 
400×400	*	472 	422 	35 	57 	22 	611 	479 	223000 	71500 	19 	11 	9450 	3390 
400×400	*	484 	426 	39 	63 	22 	681 	534 	256000 	81400 	19 	11 	10600 	3820 
400×400	*	498 	432 	45 	70 	22 	770 	605 	298000 	94400 	20 	11 	12000 	4370 
450×200		446 	199 	8 	12 	18 	84 	66 	28700 	1580 	19 	4 	1290 	159 
450×200		450 	200 	9 	14 	18 	97 	76 	33500 	1870 	19 	4 	1490 	187 
450×300	*	434 	299 	10 	15 	24 	135 	106 	46800 	6690 	19 	7 	2160 	448 
450×300		440 	300 	11 	18 	24 	157 	124 	56100 	8110 	19 	7 	2550 	541 
500×200		496 	199 	9 	14 	20 	101 	80 	41900 	1840 	20 	4 	1690 	185 
500×200		500 	200 	10 	16 	20 	114 	90 	47800 	2140 	21 	4 	1910 	214 
500×200	*	506 	201 	11 	19 	20 	131 	103 	56500 	2580 	21 	4 	2230 	257 
500×300		482 	300 	11 	15 	26 	146 	114 	60400 	6760 	20 	7 	2500 	451 
500×300		488 	300 	11 	18 	26 	164 	128 	71000 	8110 	21 	7 	2910 	541 
600×200		596 	199 	10 	15 	22 	121 	95 	68700 	1980 	24 	4 	2310 	199 
600×200		600 	200 	11 	17 	22 	134 	106 	77600 	2280 	24 	4 	2590 	228 
600×200	*	606 	201 	12 	20 	22 	153 	120 	90400 	2720 	24 	4 	2980 	271 
600×200	*	612 	202 	13 	23 	22 	171 	134 	103000 	3180 	25 	4 	3380 	314 
600×300		582 	300 	12 	17 	28 	175 	137 	103000 	7670 	24 	7 	3530 	511 
600×300		588 	300 	12 	20 	28 	193 	151 	118000 	9020 	25 	7 	4020 	601 
600×300	*	594 	302 	14 	23 	28 	222 	175 	137000 	10600 	25 	7 	4620 	701 
700×300	*	692 	300 	13 	20 	28 	212 	166 	172000 	9020 	29 	7 	4980 	602 
700×300	*	696 	300 	13 	22 	28 	224 	175 	187000 	9920 	29 	7 	5370 	662 
700×300		700 	300 	13 	24 	28 	236 	185 	201000 	10800 	29 	7 	5760 	722 
700×300	*	702 	301 	14 	25 	28 	249 	195 	212000 	11400 	29 	7 	6030 	757 
700×300	*	708 	302 	15 	28 	28 	274 	215 	237000 	12900 	29 	7 	6700 	853 
700×300	*	714 	303 	16 	31 	28 	299 	235 	263000 	14400 	30 	7 	7370 	951 
800×300	*	792 	300 	14 	22 	28 	243 	191 	254000 	9930 	32 	6 	6410 	662 
800×300	*	796 	300 	14 	24 	28 	255 	200 	273000 	10800 	33 	7 	6850 	722 
800×300		800 	300 	14 	26 	28 	267 	210 	292000 	11700 	33 	7 	7290 	782 
800×300	*	802 	301 	15 	27 	28 	282 	221 	306000 	12300 	33 	7 	7620 	818 
800×300	*	808 	302 	16 	30 	28 	308 	241 	339000 	13800 	33 	7 	8400 	915 
800×300	*	814 	303 	17 	33 	28 	334 	262 	374000 	15300 	33 	7 	9180 	1010 
900×300	*	890 	299 	15 	23 	28 	271 	213 	345000 	10300 	36 	6 	7760 	688 
900×300	*	894 	299 	15 	25 	28 	283 	222 	369000 	11200 	36 	6 	8260 	748 
900×300		900 	300 	16 	28 	28 	310 	243 	411000 	12600 	36 	6 	9140 	843 
900×300	*	906 	301 	17 	31 	28 	337 	264 	454000 	14100 	37 	6 	10000 	940 
900×300	*	912 	302 	18 	34 	28 	364 	286 	498000 	15700 	37 	7 	10900 	1040 
900×300	*	918 	303 	19 	37 	28 	391 	307 	542000 	17200 	37 	7 	11800 	1140
