KS LABEL	H	B	t	t	W	As
	mm	mm	mm	mm	kg/m	mm2
L 25×3	25	25	3	3	1.1	142.7
L 30×3	30	30	3	3	1.4	172.7
L 40×3	40	40	3	3	1.8	233.6
L 40×5	40	40	5	5	2.9	375.5
L 45×4	45	45	4	4	2.7	349.2
L 45×5	45	45	5	5	3.4	430.2
L 50×4	50	50	4	4	3.1	389.2
L 50×5	50	50	5	5	3.8	480.2
L 50×6	50	50	6	6	4.4	564.4
L 60×4	60	60	4	4	3.7	469.2
L 60×5	60	60	5	5	4.6	580.2
L 60×6	60	60	6	6	5.4	684.4
L 65×5	65	65	5	5	5	636.7
L 65×6	65	65	6	6	5.9	752.7
L 65×8	65	65	8	8	7.7	976.1
L 70×6	70	70	6	6	6.4	812.7
L 75×6	75	75	6	6	6.9	872.7
L 75×9	75	75	9	9	10	1269
L 75×12	75	75	12	12	13	1656
L 80×6	80	80	6	6	7.3	932.7
L 80×7	80	80	7	7	8.5	1079.7
L 90×6	90	90	6	6	8.3	1055
L 90×7	90	90	7	7	9.6	1222
L 90×8	90	90	8	8	10.8	1376.4
L 90×9	90	90	9	9	12.1	1539.4
L 90×10	90	90	10	10	13.3	1700
L 90×13	90	90	13	13	17	2171
L 100×7	100	100	7	7	10.7	1362
L 100×8	100	100	8	8	12.1	1536
L 100×10	100	100	10	10	14.9	1900
L 100×13	100	100	13	13	19.1	2431
L 120×8	120	120	8	8	14.7	1876
L 130×9	130	130	9	9	17.9	2274
L 130×10	130	130	10	10	19.8	2516
L 130×12	130	130	12	12	23.4	2976
L 130×15	130	130	15	15	28.8	3675
L 150×10	150	150	10	10	22.9	2921
L 150×12	150	150	12	12	27.3	3477
L 150×15	150	150	15	15	33.6	4274
L 150×19	150	150	19	19	41.9	5338
L 175×12	175	175	12	12	31.8	4052
L 175×15	175	175	15	15	39.4	5021
L 200×15	200	200	15	15	45.3	5775
L 200×20	200	200	20	20	59.7	7600
L 200×25	200	200	25	25	73.6	9375
L 250×25	250	250	25	25	93.7	11940
L 250×35	250	250	35	35	127.6	16260
L 90x75x9	90	75	9	9	11	1404
L 100x75x7	100	75	7	7	9.3	1187
L 100x75x10	100	75	10	10	13	1650
L 125x75x7	125	75	7	7	10.7	1362
L 125x75x10	125	75	10	10	14.9	1900
L 125x75x13	125	75	13	13	19.1	2431
L 125x90x10	125	90	10	10	16.1	2050
L 125x90x13	125	90	13	13	20.6	2626
L 150x90x9	150	90	9	9	16.4	2094
L 150x90x12	150	90	12	12	21.5	2736
L 150x100x9	150	100	9	9	17.1	2184
L 150x100x12	150	100	12	12	22.4	2856
L 150x100x15	150	100	15	15	27.7	3525
L 200x90x9/14	200	90	9	14	23.3	2966
L 250x90x10/15	250	90	10	15	29.4	3747
L 250x90x12/16	250	90	12	16	33.7	4295
L 300x90x11/16	300	90	11	16	36.3	4622
L 300x90x13/17	300	90	13	17	41.3	5267
L 350x100x12/17	350	100	12	17	45.3	5774
L 400x100x13/18	400	100	13	18	53.8	6859
