KS LABEL	D	t	W	As
	mm	mm	kg/m	mm2
P 21.7×2	21.7	2	1	123.8
P 27.2×2	27.2	2	1.2	158.3
P 27.2×2.3	27.2	2.3	1.4	179.9
P 34.0×2.3	34	2.3	1.8	229.1
P 42.7×2.3	42.7	2.3	2.3	291.9
P 42.7×2.8	42.7	2.8	2.8	351
P 48.6×2.3	48.6	2.3	2.6	334.5
P 48.6×2.8	48.6	2.8	3.2	402.9
P 48.6×3.2	48.6	3.2	3.6	456.4
P 60.5×2.3	60.5	2.3	3.3	420.5
P 60.5×3.2	60.5	3.2	4.5	576
P 60.5×4	60.5	4	5.6	710
P 76.3×2.8	76.3	2.8	5.1	646.5
P 76.3×3.2	76.3	3.2	5.8	734.9
P 76.3×4	76.3	4	7.1	908.5
P 89.1×2.8	89.1	2.8	6	759.1
P 89.1×3.2	89.1	3.2	6.8	863.6
P 89.1×4	89.1	4	8.4	1069
P 101.6×3.2	101.6	3.2	7.8	989.2
P 101.6×4	101.6	4	9.6	1226
P 101.6×5	101.6	5	11.9	1517
P 114.3×3.2	114.3	3.2	8.8	1117
P 114.3×3.6	114.3	3.6	9.8	1252
P 114.3×4.5	114.3	4.5	12.2	1552
P 114.3×5.6	114.3	5.6	15	1912
P 139.8×3.6	139.8	3.6	12.1	1540
P 139.8×4	139.8	4	13.4	1707
P 139.8×4.5	139.8	4.5	15	1913
P 139.8×6	139.8	6	19.8	2522
P 165.2×4.5	165.2	4.5	17.8	2272
P 165.2×5	165.2	5	19.8	2516
P 165.2×6	165.2	6	23.6	3001
P 165.2×7	165.2	7	27.3	3479
P 190.7×4.5	190.7	4.5	20.7	2632
P 190.7×5	190.7	5	22.9	2917
P 190.7×6	190.7	6	27.3	3482
P 190.7×7	190.7	7	31.7	4040
P 216.3×4.5	216.3	4.5	23.5	2994
P 216.3×6	216.3	6	31.1	3961
P 216.3×7	216.3	7	36.1	4603
P 216.3×8	216.3	8	41.1	5235
P 267.4×6	267.4	6	38.7	4927
P 267.4×7	267.4	7	45	5727
P 267.4×8	267.4	8	51.2	6519
P 267.4×9	267.4	9	57.4	7306
P 318.5×6	318.5	6	46.2	5891
P 318.5×7	318.5	7	53.8	6850
P 318.5×8	318.5	8	61.3	7804
P 318.5×9	318.5	9	68.7	8751
P 355.6×6.3	355.6	6.3	54.3	6913
P 355.6×8	355.6	8	68.6	8736
P 355.6×9	355.6	9	76.9	9800
P 355.6×12	355.6	12	101.7	12950
P 406.4×9	406.4	9	88.2	11240
P 406.4×12	406.4	12	116.7	14870
P 406.4×16	406.4	16	154	19620
P 406.4×19	406.4	19	181.5	23120
P 457.2×9	457.2	9	99.5	12670
P 457.2×12	457.2	12	131.7	16780
P 457.2×16	457.2	16	174.1	22180
P 457.2×19	457.2	19	205.4	26160
P 500.0×9	500	9	109	13880
P 500.0×12	500	12	144.4	18400
P 500.0×14	500	14	167.8	21380
P 508.0×9	508	9	110.8	14110
P 508.0×12	508	12	146.8	18700
P 508.0×14	508	14	170.6	21730
P 508.0×16	508	16	194.1	24730
P 508.0×19	508	19	229.1	29190
P 508.0×22	508	22	263.7	33590
P 558.8×9	558.8	9	122.1	15550
P 558.8×12	558.8	12	161.8	20610
P 558.8×16	558.8	16	214.1	27280
P 558.8×19	558.8	19	252.9	32220
P 558.8×22	558.8	22	291.2	37100
P 600.0×9	600	9	131.2	16710
P 600.0×12	600	12	174	22170
P 600.0×14	600	14	202.3	25770
P 600.0×16	600	16	230.5	29360
P 609.6×9	609.6	9	133.3	16980
P 609.6×12	609.6	12	176.9	22530
P 609.6×14	609.6	14	205.7	26200
P 609.6×16	609.6	16	234.2	29840
P 609.6×19	609.6	19	276.5	35220
P 609.6×22	609.6	22	318.8	40610
P 700.0×9	700	9	153.4	19540
P 700.0×12	700	12	203.6	25940
P 700.0×14	700	14	236.8	30170
P 700.0×16	700	16	269.9	34380
P 711.2×9	711.2	9	155.8	19850
P 711.2×12	711.2	12	206.9	26360
P 711.2×14	711.2	14	240.7	30660
P 711.2×16	711.2	16	274.3	34940
P 711.2×19	711.2	19	324.4	41320
P 711.2×22	711.2	22	373.9	47630
P 812.8×9	812.8	9	178.4	22730
P 812.8×12	812.8	12	237	30190
P 812.8×14	812.8	14	275.8	35130
P 812.8×16	812.8	16	314.4	40050
P 812.8×19	812.8	19	371.9	47380
P 812.8×22	812.8	22	429.1	54660
P 914.4×12	914.4	12	267.1	34020
P 914.4×14	914.4	14	310.9	39600
P 914.4×16	914.4	16	354.5	45160
P 914.4×19	914.4	19	419.6	53450
P 914.4×22	914.4	22	484	61650
P 1016.0×12	1016	12	297.1	37850
P 1016.0×14	1016	14	345.9	44070
P 1016.0×16	1016	16	394.6	50270
P 1016.0×19	1016	19	467.2	59510
P 1016.0×22	1016	22	539.3	68700
