KS LABEL	H	B	tw	tf	W	As
	mm	mm	mm	mm	kg/m	mm2
T 50x50x5/7	50	50	5	7	4.7	592.5
T 50x100x6/8	50	100	6	8	8.6	1095
T 62.5x60x6/8	62.5	60	6	8	6.6	841.8
T 62.5x125x6.5/9	62.5	125	6.5	9	11.9	1516
T 75x75x5/7	75	75	5	7	7	892.5
T 75x100x6/9	75	100	6	9	10.5	1342
T 75x150x7/10	75	150	7	10	15.8	2007
T 87.5x90x5/8	87.5	90	5	8	9	1152
T 87.5x175x7.5/11	87.5	175	7.5	11	20.1	2561
T 99x99x4.5/7	99	99	4.5	7	9.1	1159
T 100x100x5.5/8	100	100	5.5	8	10.7	1358
T 97x150x6/9	97	150	6	9	15.3	1951
T 100x200x 8/12	100	200	8	12	24.9	3177
T 100x204x12/12	100	204	12	12	28.1	3577
T 104x202x10/16	104	202	10	16	32.9	4185
T 124x124x5/8	124	124	5	8	12.8	1634
T 125x125x6/9	125	125	6	9	14.8	1883
T 122x175x7/11	122	175	7	11	22.1	2812
T 122x252x11/11	122	252	11	11	32.2	4103
T 124x249x8/13	124	249	8	13	33.2	4235
T 125x250x9/14	125	250	9	14	36.2	4609
T 125x255x14/14	125	255	14	14	41.1	5234
T 149x149x5.5/8	149	149	5.5	8	16	2040
T 150x150x6.5/9	150	150	6.5	9	18.4	2339
T 147x200x8/12	147	200	8	12	28.4	3619
T 149x201x9/14	149	201	9	14	32.7	4168
T 147x302x12/12	147	302	12	12	42.3	5383
T 149x299x9/14	149	299	9	14	43.5	5540
T 150x300x10/15	150	300	10	15	47	5989
T 150x305x15/15	150	305	15	15	52.9	6739
T 152x301x11/17	152	301	11	17	52.9	6741
T 173x174x6/9	173	174	6	9	20.7	2634
T 175x175x7/11	175	175	7	11	24.8	3157
T 168x249x8/12	168	249	8	12	34.6	4408
T 170x250x9/14	170	250	9	14	39.8	5076
T 172x348x10/16	172	348	10	16	57.3	7300
T 172x354x16/16	172	354	16	16	65.4	8332
T 175x350x12/19	175	350	12	19	68.2	8694
T 175x357x19/19	175	357	19	19	77.9	9919
T 169x351x13/13	169	351	13	13	53.1	6763
T 198x199x 7/11	198	199	7	11	28.3	3608
T 200x200x 8/13	200	200	8	13	33	4206
T 193x299x 9/14	193	299	9	14	47.1	6005
T 195x300x10/16	195	300	10	16	53.4	6798
T 194x402x15/15	194	402	15	15	70	8923
T 197x398x11/18	197	398	11	18	73.3	9341
T 197x405x18/18	197	405	18	18	84.2	10720
T 200x400x13/21	200	400	13	21	85.8	10930
T 200x408x21/21	200	408	21	21	98.4	12530
T 203x403x16/24	203	403	16	24	100	12740
T 207x405x18/28	207	405	18	28	115.9	14770
T 214x407x20/35	214	407	20	35	141.5	18030
T 229x417x30/50	229	417	30	50	207.5	26430
T 249x432x45/70	249	432	45	70	302.2	38500
T 223x199x8/12	223	199	8	12	33.1	4215
T 225x200x9/14	225	200	9	14	38	4838
T 217x299x10/15	217	299	10	15	53	6752
T 220x300x11/18	220	300	11	18	61.8	7869
T 248x199x9/14	248	199	9	14	39.8	5064
T 250x200x10/16	250	200	10	16	44.8	5712
T 253x201x11/19	253	201	11	19	51.5	6565
T 241x300x11/15	241	300	11	15	57.1	7276
T 244x300x11/18	244	300	11	18	64.2	8176
T 298x199x10/15	298	199	10	15	47.3	6023
T 300x200x11/17	300	200	11	17	52.8	6721
T 303x201x12/20	303	201	12	20	59.8	7624
T 306x202x13/23	306	202	13	23	67	8533
T 291x300x12/17	291	300	12	17	68.5	8724
T 294x300x12/20	294	300	12	20	75.5	9624
T 297x302x14/23	297	302	14	23	87.3	11120
T 346x300x13/20	346	300	13	20	83	10570
T 350x300x13/24	350	300	13	24	92.4	11770
T 354x302x15/28	354	302	15	28	107.4	13680
T 396x300x14/22	396	300	14	22	95.5	12170
T 400x300x14/26	400	300	14	26	105	13370
T 404x302x16/30	404	302	16	30	120.7	15380
T 445x299x15/23	445	299	15	23	106.3	13540
T 450x300x16/28	450	300	16	28	121.6	15490
T 456x302x18/34	456	302	18	34	142.9	18200
